iter	Passed	Remaining
0	23	23058
1	35	17491
2	47	15770
3	59	14863
4	72	14376
5	83	13790
6	95	13500
7	107	13282
8	118	13071
9	131	12987
10	142	12814
11	153	12633
12	165	12539
13	176	12431
14	187	12343
15	199	12278
16	210	12200
17	222	12116
18	233	12051
19	245	12006
20	256	11943
21	267	11884
22	278	11848
23	289	11790
24	301	11758
25	312	11693
26	323	11660
27	334	11610
28	346	11589
29	357	11553
30	368	11528
31	380	11508
32	392	11487
33	403	11451
34	414	11415
35	425	11389
36	436	11358
37	449	11368
38	460	11351
39	472	11330
40	483	11304
41	494	11282
42	506	11263
43	517	11253
44	529	11240
45	544	11285
46	555	11269
47	568	11273
48	579	11249
49	591	11230
50	602	11203
51	613	11183
52	624	11159
53	635	11125
54	646	11109
55	657	11090
56	669	11076
57	681	11061
58	692	11050
59	703	11025
60	715	11010
61	726	10990
62	737	10971
63	748	10952
64	760	10942
65	772	10928
66	783	10911
67	794	10895
68	806	10880
69	817	10864
70	828	10845
71	840	10837
72	852	10819
73	863	10804
74	874	10788
75	886	10773
76	897	10753
77	908	10733
78	919	10717
79	930	10696
80	940	10671
81	951	10655
82	963	10644
83	975	10635
84	986	10623
85	998	10610
86	1009	10597
87	1020	10577
88	1032	10565
89	1043	10552
90	1054	10533
91	1065	10517
92	1078	10519
93	1091	10524
94	1103	10514
95	1115	10499
96	1126	10486
97	1137	10468
98	1148	10454
99	1159	10437
100	1170	10422
101	1182	10410
102	1194	10401
103	1206	10390
104	1218	10384
105	1230	10379
106	1242	10365
107	1253	10355
108	1265	10345
109	1276	10329
110	1288	10316
111	1299	10304
112	1312	10300
113	1323	10289
114	1334	10273
115	1345	10254
116	1357	10244
117	1369	10237
118	1380	10220
119	1392	10212
120	1403	10196
121	1414	10180
122	1425	10167
123	1437	10156
124	1449	10145
125	1460	10134
126	1472	10119
127	1483	10106
128	1495	10095
129	1506	10082
130	1518	10072
131	1530	10065
132	1543	10062
133	1555	10050
134	1566	10037
135	1578	10027
136	1589	10013
137	1601	10000
138	1612	9991
139	1625	9984
140	1636	9972
141	1648	9963
142	1660	9949
143	1671	9937
144	1682	9922
145	1694	9913
146	1705	9899
147	1718	9892
148	1729	9878
149	1741	9865
150	1752	9855
151	1764	9841
152	1775	9829
153	1787	9817
154	1798	9803
155	1809	9792
156	1821	9778
157	1832	9766
158	1844	9754
159	1854	9737
160	1866	9728
161	1878	9716
162	1889	9703
163	1901	9692
164	1912	9679
165	1924	9667
166	1936	9657
